Country,Stay,Leave
LT,2,0
MN,2,0
AR,1,0
TZ,1,0
CL,1,0
PS,1,0
MU,1,0
KE,3,1
IR,5,2
US,4540,2231
KZ,4,2
ET,5,3
AU,464,292
MO,54,34
CH,102,66
LU,3,2
JP,344,286
IE,73,62
UA,7,6
RU,24,21
HK,208,188
PK,5,5
NG,3,3
BW,2,2
QA,1,1
RO,1,1
EG,1,1
DE,350,398
AE,4,5
BD,4,5
CA,312,400
GB,1088,1395
FI,60,78
ZA,3,4
SG,176,245
MY,27,38
SE,152,220
ES,57,83
IQ,4,6
TR,4,6
VN,2,3
ZW,2,3
NZ,31,47
SA,16,25
IT,49,77
NL,157,273
EE,4,7
KR,71,139
HU,4,8
DK,42,85
PT,9,20
PL,12,28
IL,6,14
TH,16,38
BE,38,93
BR,6,15
NP,5,13
NO,18,51
FR,99,284
LK,10,29
SI,1,3
TW,19,62
AT,5,17
GR,1,23
TM,0,1
GU,0,1
CY,0,1
NI,0,1
PH,0,11
IS,0,1
BI,0,1
MX,0,2
PA,0,3
BG,0,2
BY,0,3
GH,0,1
CZ,0,15
RS,0,4
MP,0,1
MT,0,1
UG,0,2
MA,0,1
LB,0,2
BT,0,1
ID,0,11
RW,0,1
YE,0,3
